Thu Nov 14 2019 17:56:27 GMT-0800 (PST)
Time (s),Topic,Payload
0,timedPropel,5
0.088,float_pressure,1.06
0.147,prop_pressure,0.10
0.193,float_pressure,1.54
0.195,prop_pressure,0.10
0.287,float_pressure,1.54
0.351,prop_pressure,0.10
0.401,float_pressure,1.54
0.403,prop_pressure,0.10
0.492,float_pressure,1.54
0.539,prop_pressure,0.10
0.596,float_pressure,2.02
0.648,prop_pressure,0.10
0.699,float_pressure,5.36
0.749,prop_pressure,-0.37
0.806,float_pressure,0.10
0.855,prop_pressure,-1.33
0.916,float_pressure,1.54
0.917,prop_pressure,0.10
1.007,float_pressure,1.54
1.053,prop_pressure,0.10
1.111,float_pressure,0.58
1.159,prop_pressure,0.10
1.212,float_pressure,0.10
1.262,prop_pressure,-0.37
1.317,float_pressure,0.58
1.366,prop_pressure,-0.37
1.42,float_pressure,1.54
1.421,prop_pressure,0.10
1.522,float_pressure,1.54
1.58,prop_pressure,0.10
1.633,float_pressure,1.54
1.634,prop_pressure,0.10
1.727,float_pressure,1.06
1.776,prop_pressure,-0.37
1.835,float_pressure,1.54
1.848,prop_pressure,2.02
1.934,float_pressure,1.54
1.984,prop_pressure,0.58
2.04,float_pressure,0.58
2.09,prop_pressure,-0.37
2.141,float_pressure,1.54
2.189,prop_pressure,2.49
2.267,float_pressure,1.54
2.268,prop_pressure,0.10
2.347,float_pressure,1.54
2.394,prop_pressure,0.10
2.455,float_pressure,4.88
2.508,prop_pressure,2.97
2.558,float_pressure,1.54
2.559,prop_pressure,0.10
2.654,float_pressure,1.54
2.702,prop_pressure,0.10
2.758,float_pressure,1.06
2.807,prop_pressure,0.10
2.859,float_pressure,2.02
2.915,prop_pressure,-0.85
2.966,float_pressure,1.54
2.968,prop_pressure,0.10
3.067,float_pressure,1.54
3.124,prop_pressure,0.58
3.168,float_pressure,1.54
3.225,prop_pressure,0.58
3.275,float_pressure,1.54
3.277,prop_pressure,0.10
3.373,float_pressure,1.54
3.423,prop_pressure,0.10
3.474,float_pressure,2.02
4.727,prop_pressure,2.97
4.781,prop_pressure,0.58
4.783,float_pressure,1.54
4.784,float_pressure,2.02
4.785,prop_pressure,0.10
4.786,float_pressure,1.54
4.787,prop_pressure,0.10
4.788,float_pressure,1.54
4.789,prop_pressure,0.10
4.79,float_pressure,1.54
4.792,prop_pressure,0.10
4.793,float_pressure,1.54
4.793,prop_pressure,0.10
4.794,float_pressure,1.54
4.795,prop_pressure,0.10
4.796,float_pressure,1.54
4.798,prop_pressure,0.10
4.8,float_pressure,1.54
4.801,prop_pressure,0.10
4.802,float_pressure,1.54
4.803,prop_pressure,0.58
4.803,float_pressure,1.54
4.804,prop_pressure,0.10
4.805,float_pressure,1.54
4.805,prop_pressure,0.10
4.81,float_pressure,1.54
4.828,prop_pressure,0.10
4.904,float_pressure,1.54
4.954,prop_pressure,0.10
5.006,float_pressure,-0.37
5.056,prop_pressure,-0.85
5.057,timedPropelReturn,5008592
