Thu Nov 14 2019 18:56:31 GMT-0800 (PST)
Time (s),Topic,Payload
0.013,float_pressure,-0.00
0.146,float_pressure,-0.00
0.177,float_pressure,-0.00
0.283,float_pressure,-0.00
0.458,float_pressure,-0.00
0.645,float_pressure,-0.00
0.645,float_pressure,-0.00
0.763,float_pressure,-0.00
0.946,float_pressure,-0.00
0.947,float_pressure,-0.00
1.051,float_pressure,-0.00
1.154,float_pressure,-0.00
1.352,float_pressure,0.48
1.353,float_pressure,-0.00
1.462,float_pressure,-0.00
1.504,float_pressure,-0.00
1.653,float_pressure,-0.48
1.753,float_pressure,-0.00
1.948,float_pressure,-0.00
1.949,float_pressure,-0.00
2.148,float_pressure,-0.00
2.149,float_pressure,-0.00
2.253,float_pressure,-0.00
2.351,float_pressure,-0.00
2.559,float_pressure,-0.00
2.561,float_pressure,-0.00
2.742,float_pressure,-0.00
2.743,float_pressure,-0.00
2.838,float_pressure,-0.00
3.049,float_pressure,-0.00
3.05,float_pressure,-0.00
3.172,float_pressure,-0.00
3.351,float_pressure,-0.00
3.352,float_pressure,-0.00
3.452,float_pressure,-0.00
3.553,float_pressure,-0.00
3.747,float_pressure,-0.00
3.853,float_pressure,-0.48
4.058,float_pressure,2.39
4.059,float_pressure,-0.00
4.161,float_pressure,-0.96
4.169,float_pressure,-0.00
4.271,float_pressure,-0.00
4.455,float_pressure,-0.00
4.651,float_pressure,-0.00
4.651,float_pressure,-0.00
4.753,float_pressure,-0.00
4.855,float_pressure,-0.00
5.052,float_pressure,-0.00
5.052,float_pressure,-0.00
5.243,float_pressure,-0.00
5.244,float_pressure,-0.00
5.343,float_pressure,-0.00
5.447,float_pressure,-0.00
5.499,float_pressure,-0.00
5.664,float_pressure,-0.00
5.858,float_pressure,-5.74
5.859,float_pressure,-0.00
6.05,float_pressure,-0.00
6.051,float_pressure,-0.00
6.262,float_pressure,-0.00
6.263,float_pressure,-0.48
6.441,float_pressure,-0.00
6.441,float_pressure,-0.00
6.549,float_pressure,-0.00
6.677,float_pressure,-0.00
6.885,float_pressure,-0.00
6.886,float_pressure,-0.00
6.94,float_pressure,-0.48
7.042,float_pressure,-0.00
7.156,float_pressure,-0.00
7.362,float_pressure,-0.00
7.365,float_pressure,-0.00
7.551,float_pressure,-0.00
7.552,float_pressure,-0.48
7.763,float_pressure,-0.00
7.764,float_pressure,-0.00
7.954,float_pressure,-0.00
7.955,float_pressure,-0.00
8.144,float_pressure,-0.00
8.245,float_pressure,-0.00
8.256,float_pressure,-0.96
8.36,float_pressure,-0.00
8.578,float_pressure,-0.00
8.581,float_pressure,-0.00
8.743,float_pressure,-0.00
8.876,float_pressure,-0.00
8.876,float_pressure,-0.00
9.054,float_pressure,-0.00
9.253,float_pressure,-0.00
9.254,float_pressure,-0.00
9.457,float_pressure,-0.00
9.458,float_pressure,-0.00
9.672,float_pressure,-0.00
9.673,float_pressure,-0.00
9.69,float_pressure,-0.00
9.844,float_pressure,-0.00
9.958,float_pressure,-0.00
10.169,float_pressure,-0.00
10.17,float_pressure,-0.00
