Thu Nov 14 2019 19:08:38 GMT-0800 (PST)
Time (s),Topic,Payload
0.134,prop_pressure,3.4
0.137,prop_pressure,0.0
0.335,prop_pressure,0.0
0.336,prop_pressure,0.0
0.643,prop_pressure,0.0
0.644,prop_pressure,0.0
0.646,prop_pressure,0.5
0.828,prop_pressure,0.0
0.93,prop_pressure,-0.9
1.127,prop_pressure,-0.9
1.129,prop_pressure,0.5
1.233,prop_pressure,0.0
1.438,prop_pressure,0.0
1.441,prop_pressure,0.0
1.647,prop_pressure,0.0
1.648,prop_pressure,0.0
1.756,prop_pressure,0.0
1.764,prop_pressure,0.0
1.916,prop_pressure,0.0
2.029,prop_pressure,0.0
2.238,prop_pressure,0.0
2.241,prop_pressure,0.0
2.431,prop_pressure,0.0
2.433,prop_pressure,0.0
2.623,prop_pressure,0.0
2.625,prop_pressure,0.0
2.758,prop_pressure,0.0
2.921,prop_pressure,0.0
2.923,prop_pressure,0.0
3.133,prop_pressure,0.0
3.134,prop_pressure,0.0
3.193,prop_pressure,0.0
3.339,prop_pressure,0.5
3.525,prop_pressure,0.0
3.528,prop_pressure,0.0
3.748,prop_pressure,0.0
3.75,prop_pressure,0.0
3.932,prop_pressure,0.0
3.934,prop_pressure,0.0
4.142,prop_pressure,0.0
4.144,prop_pressure,0.0
4.337,prop_pressure,0.0
4.338,prop_pressure,0.0
4.528,prop_pressure,0.0
4.53,prop_pressure,0.0
4.623,prop_pressure,0.0
4.819,prop_pressure,2.9
4.919,prop_pressure,2.4
5.018,prop_pressure,0.0
5.119,prop_pressure,0.5
5.322,prop_pressure,0.0
5.325,prop_pressure,0.0
5.531,prop_pressure,0.0
5.533,prop_pressure,0.5
5.745,prop_pressure,0.0
5.746,prop_pressure,0.0
5.959,prop_pressure,1.9
5.963,prop_pressure,0.5
5.964,prop_pressure,0.0
6.116,prop_pressure,0.0
6.219,prop_pressure,0.0
6.423,prop_pressure,0.5
6.425,prop_pressure,0.0
6.63,prop_pressure,0.0
6.632,prop_pressure,0.5
6.827,prop_pressure,0.0
6.829,prop_pressure,0.0
6.924,prop_pressure,0.0
7.031,prop_pressure,0.5
7.136,prop_pressure,0.5
7.318,prop_pressure,0.5
7.321,prop_pressure,0.0
7.394,prop_pressure,0.0
7.524,prop_pressure,0.5
7.622,prop_pressure,0.0
7.723,prop_pressure,0.0
7.922,prop_pressure,0.0
7.925,prop_pressure,0.0
9.879,prop_pressure,0.0
9.883,prop_pressure,0.0
9.885,prop_pressure,0.0
9.888,prop_pressure,0.0
9.896,prop_pressure,0.0
9.903,prop_pressure,0.0
9.909,prop_pressure,0.0
9.92,prop_pressure,0.0
9.923,prop_pressure,0.0
9.925,prop_pressure,0.0
9.928,prop_pressure,0.0
9.931,prop_pressure,0.0
9.933,prop_pressure,0.0
9.937,prop_pressure,0.0
9.947,prop_pressure,0.0
9.95,prop_pressure,0.0
9.955,prop_pressure,0.0
9.956,prop_pressure,0.0
9.958,prop_pressure,0.0
10.023,prop_pressure,0.0
